age,appearances,assists,birth_date,birthplace,career_summary,club,created_at,current_situation,display_name,goals,height_cm,id,last_verified_at,league,name,nationality,photo_storage_path,photo_url,position,preferred_foot,shirt_number,slug,source_url,status,strengths,team_id,updated_at,weight_kg
,,,2002-06-19,,,Guadalajara,2026-05-17T20:16:57.72+00:00,,Efraín Álvarez,,,3849,,,Efraín Álvarez,Mexico,,,MF,,,efrain-alvarez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:00.338+00:00,
,,,2001-02-26,,,América,2026-05-17T20:16:58.798+00:00,,Alexis Gutiérrez,,,3851,,,Alexis Gutiérrez,Mexico,,,MF,,,alexis-gutierrez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:00.931+00:00,
,,,2005-08-05,,,Atlético Madrid,2026-05-17T20:16:59.886+00:00,,Obed Vargas,,,3853,,,Obed Vargas,Mexico,,,MF,,,obed-vargas,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:01.466+00:00,
,,,2001-11-30,,,UNAM,2026-05-17T20:17:00.743+00:00,,Jordán Carrillo,,,3855,,,Jordán Carrillo,Mexico,,,MF,,,jordan-carrillo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:02.041+00:00,
,,,1997-04-09,,,Real Betis,2026-05-17T20:17:01.386+00:00,,Álvaro Fidalgo,,,3857,,,Álvaro Fidalgo,Mexico,,,MF,,,alvaro-fidalgo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:02.553+00:00,
,,,2005-01-03,,,Pachuca,2026-05-17T20:17:01.966+00:00,,Alexéi Domínguez,,,3859,,,Alexéi Domínguez,Mexico,,,MF,,,alexei-dominguez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:03.062+00:00,
,,,2005-10-07,,,Pachuca,2026-05-17T20:17:02.489+00:00,,Elías Montiel,,,3861,,,Elías Montiel,Mexico,,,MF,,,elias-montiel,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:03.57+00:00,
,,,1991-05-05,,,Fulham,2026-05-17T20:17:03.141+00:00,,Raúl Jiménez,,,3863,,,Raúl Jiménez,Mexico,,,FW,,,raul-jimenez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:04.097+00:00,
,,,2001-04-18,,,Milan,2026-05-17T20:17:03.754+00:00,,Santiago Giménez,,,3865,,,Santiago Giménez,Mexico,,,FW,,,santiago-gimenez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:05.23+00:00,
,,,1997-03-24,,,Al-Qadsiah,2026-05-17T20:17:04.275+00:00,,Julián Quiñones,,,3867,,,Julián Quiñones,Mexico,,,FW,,,julian-quinones,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:05.844+00:00,
,,,1995-03-15,,,UNAM,2026-05-17T20:17:05.072+00:00,,Guillermo Martínez,,,3869,,,Guillermo Martínez,Mexico,,,FW,,,guillermo-martinez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:06.459+00:00,
,,,1990-09-30,,,FC Tokyo,2026-05-17T20:17:05.634+00:00,,Kim Seung-gyu,,,3871,,,Kim Seung-gyu,South Korea,,,GK,,,kim-seung-gyu,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:07.075+00:00,
,,,1997-10-15,,,Jeonbuk Hyundai Motors,2026-05-17T20:17:06.213+00:00,,Song Bum-keun,,,3873,,,Song Bum-keun,South Korea,,,GK,,,song-bum-keun,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:07.636+00:00,
,,,1995-08-01,,,Daejeon Hana Citizen,2026-05-17T20:17:06.811+00:00,,Kim Moon-hwan,,,3875,,,Kim Moon-hwan,South Korea,,,DF,,,kim-moon-hwan,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:08.202+00:00,
,,,1996-11-17,,,Sharjah,2026-05-17T20:17:07.954+00:00,,Cho Yu-min,,,3877,,,Cho Yu-min,South Korea,,,DF,,,cho-yu-min,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:08.762+00:00,
,,,1995-10-23,,,Zhejiang FC,2026-05-17T20:17:08.565+00:00,,Park Jin-seob,,,3879,,,Park Jin-seob,South Korea,,,DF,,,park-jin-seob,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:09.327+00:00,
,,,2002-06-17,,,Midtjylland,2026-05-17T20:17:09.09+00:00,,Lee Han-beom,,,3881,,,Lee Han-beom,South Korea,,,DF,,,lee-han-beom,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:09.943+00:00,
,,,2000-07-07,,,Gangwon FC,2026-05-17T20:17:09.639+00:00,,Lee Ki-hyuk,,,3883,,,Lee Ki-hyuk,South Korea,,,DF,,,lee-ki-hyuk,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:10.555+00:00,
,,,1998-01-29,,,Pachuca,2026-05-17T20:16:48.072+00:00,,Carlos Moreno,,,3820,,,Carlos Moreno,Mexico,,,GK,,,carlos-moreno,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:52.533+00:00,
,,,1994-08-15,,,Toluca,2026-05-17T20:16:48.7+00:00,,Jesús Gallardo,,,3822,,,Jesús Gallardo,Mexico,,,DF,,,jesus-gallardo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:53.048+00:00,
,,,1997-12-10,,,PAOK,2026-05-17T20:16:49.275+00:00,,Jorge Sánchez,,,3824,,,Jorge Sánchez,Mexico,,,DF,,,jorge-sanchez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:53.571+00:00,
,,,2000-05-23,,,América,2026-05-17T20:16:49.8+00:00,,Israel Reyes,,,3826,,,Israel Reyes,Mexico,,,DF,,,israel-reyes,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:54.087+00:00,
,,,2001-08-13,,,Celtic,2026-05-17T20:16:50.324+00:00,,Julián Araujo,,,3828,,,Julián Araujo,Mexico,,,DF,,,julian-araujo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:54.648+00:00,
,,,2002-03-07,,,Monterrey,2026-05-17T20:16:50.841+00:00,,Víctor Guzmán,,,3830,,,Víctor Guzmán,Mexico,,,DF,,,victor-guzman,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:55.156+00:00,
,,,2005-03-23,,,Toluca,2026-05-17T20:16:51.377+00:00,,Everardo López,,,3832,,,Everardo López,Mexico,,,DF,,,everardo-lopez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:55.708+00:00,
,,,2003-04-10,,,Guadalajara,2026-05-17T20:16:52.286+00:00,,Bryan González,,,3834,,,Bryan González,Mexico,,,DF,,,bryan-gonzalez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:56.218+00:00,
,,,2002-05-17,,,Atlético San Luis,2026-05-17T20:16:52.812+00:00,,Eduardo Águila,,,3836,,,Eduardo Águila,Mexico,,,DF,,,eduardo-aguila,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:56.737+00:00,
,,,2002-09-14,,,Puebla,2026-05-17T20:16:53.414+00:00,,Luis Rey,,,3838,,,Luis Rey,Mexico,,,DF,,,luis-rey,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:57.309+00:00,
,,,1996-03-24,,,AEK Athens,2026-05-17T20:16:53.958+00:00,,Orbelín Pineda,,,3840,,,Orbelín Pineda,Mexico,,,MF,,,orbelin-pineda,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:57.846+00:00,
,,,1998-09-07,,,Guadalajara,2026-05-17T20:16:55.084+00:00,,Roberto Alvarado,,,3842,,,Roberto Alvarado,Mexico,,,MF,,,roberto-alvarado,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:58.404+00:00,
,,,1996-01-15,,,Dynamo Moscow,2026-05-17T20:16:55.919+00:00,,Luis Chávez,,,3844,,,Luis Chávez,Mexico,,,MF,,,luis-chavez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:58.944+00:00,
,,,2000-06-09,,,UANL,2026-05-17T20:16:56.894+00:00,,Diego Lainez,,,3846,,,Diego Lainez,Mexico,,,MF,,,diego-lainez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:59.496+00:00,
,,,2000-10-26,,,Toluca,2026-05-17T20:16:57.452+00:00,,Marcel Ruiz,,,3848,,,Marcel Ruiz,Mexico,,,MF,,,marcel-ruiz,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:00.06+00:00,
,,,2003-06-17,,,Guadalajara,2026-05-17T20:16:58.257+00:00,,Brian Gutiérrez,,,3850,,,Brian Gutiérrez,Mexico,,,MF,,,brian-gutierrez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:00.623+00:00,
,,,2008-10-14,,,Tijuana,2026-05-17T20:16:59.349+00:00,,Gilberto Mora,,,3852,,,Gilberto Mora,Mexico,,,MF,,,gilberto-mora,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:01.21+00:00,
,,,1997-02-20,,,Toluca,2026-05-17T20:17:00.149+00:00,,Jesús Ricardo Angulo,,,3854,,,Jesús Ricardo Angulo,Mexico,,,MF,,,jesus-ricardo-angulo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:01.75+00:00,
,,,1999-10-28,,,Tijuana,2026-05-17T20:17:01.099+00:00,,Kevin Castañeda,,,3856,,,Kevin Castañeda,Mexico,,,MF,,,kevin-castaneda,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:02.299+00:00,
,,,2001-07-23,,,New York Red Bulls,2026-05-17T20:17:01.707+00:00,,Jorge Ruvalcaba,,,3858,,,Jorge Ruvalcaba,Mexico,,,MF,,,jorge-ruvalcaba,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:02.804+00:00,
,,,2000-06-21,,,Cruz Azul,2026-05-17T20:17:02.229+00:00,,Jeremy Márquez,,,3860,,,Jeremy Márquez,Mexico,,,MF,,,jeremy-marquez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:03.314+00:00,
,,,2003-10-20,,,América,2026-05-17T20:17:02.835+00:00,,Isaías Violante,,,3862,,,Isaías Violante,Mexico,,,MF,,,isaias-violante,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:03.84+00:00,
,,,1997-11-25,,,Toluca,2026-05-17T20:17:03.4+00:00,,Alexis Vega,,,3864,,,Alexis Vega,Mexico,,,FW,,,alexis-vega,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:04.925+00:00,
,,,2000-12-03,,,Anderlecht,2026-05-17T20:17:04.008+00:00,,César Huerta,,,3866,,,César Huerta,Mexico,,,FW,,,cesar-huerta,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:05.539+00:00,
,,,1998-11-13,,,Inter Miami CF,2026-05-17T20:17:04.534+00:00,,Germán Berterame,,,3868,,,Germán Berterame,Mexico,,,FW,,,german-berterame,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:06.109+00:00,
,,,2003-04-20,,,Guadalajara,2026-05-17T20:17:05.333+00:00,,Armando González,,,3870,,,Armando González,Mexico,,,FW,,,armando-gonzalez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:24:06.725+00:00,
,,,1991-09-25,,,Ulsan HD,2026-05-17T20:17:05.902+00:00,,Jo Hyeon-woo,,,3872,,,Jo Hyeon-woo,South Korea,,,GK,,,jo-hyeon-woo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:07.381+00:00,
,,,1996-11-15,,,Bayern Munich,2026-05-17T20:17:06.523+00:00,,Kim Min-jae,,,3874,,,Kim Min-jae,South Korea,,,DF,,,kim-min-jae,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:07.89+00:00,
,,,1998-12-05,,,Red Star Belgrade,2026-05-17T20:17:07.32+00:00,,Seol Young-woo,,,3876,,,Seol Young-woo,South Korea,,,DF,,,seol-young-woo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:08.507+00:00,
,,,2002-07-28,,,Austria Wien,2026-05-17T20:17:08.26+00:00,,Lee Tae-seok,,,3878,,,Lee Tae-seok,South Korea,,,DF,,,lee-tae-seok,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:09.022+00:00,
,,,2000-09-17,,,Kashima Antlers,2026-05-17T20:17:08.83+00:00,,Kim Tae-hyeon,,,3880,,,Kim Tae-hyeon,South Korea,,,DF,,,kim-tae-hyeon,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:09.587+00:00,
,,,2003-07-29,,,Borussia Mönchengladbach,2026-05-17T20:17:09.384+00:00,,Jens Castrop,,,3882,,,Jens Castrop,South Korea,,,DF,,,jens-castrop,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:10.248+00:00,
,,,1992-08-10,,,Mainz 05,2026-05-17T20:17:09.896+00:00,,Lee Jae-sung,,,3884,,,Lee Jae-sung,South Korea,,,MF,,,lee-jae-sung,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:10.863+00:00,
,,,1996-09-20,,,Feyenoord,2026-05-17T20:17:10.454+00:00,,Hwang In-beom,,,3886,,,Hwang In-beom,South Korea,,,MF,,,hwang-in-beom,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:11.478+00:00,
,,,2001-02-19,,,Paris Saint-Germain,2026-05-17T20:17:10.738+00:00,,Lee Kang-in,,,3887,,,Lee Kang-in,South Korea,,,MF,,,lee-kang-in,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:11.787+00:00,
,,,1997-02-24,,,Jeonbuk Hyundai Motors,2026-05-17T20:17:11.259+00:00,,Kim Jin-gyu,,,3889,,,Kim Jin-gyu,South Korea,,,MF,,,kim-jin-gyu,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:12.399+00:00,
,,,2003-08-21,,,Stoke City,2026-05-17T20:17:11.846+00:00,,Bae Jun-ho,,,3891,,,Bae Jun-ho,South Korea,,,MF,,,bae-jun-ho,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:12.922+00:00,
,,,2002-05-25,,,Celtic,2026-05-17T20:17:12.407+00:00,,Yang Hyun-jun,,,3893,,,Yang Hyun-jun,South Korea,,,MF,,,yang-hyun-jun,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:13.435+00:00,
,,,1998-01-25,,,Midtjylland,2026-05-17T20:17:13.073+00:00,,Cho Gue-sung,,,3895,,,Cho Gue-sung,South Korea,,,FW,,,cho-gue-sung,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,54,2026-05-17T20:24:13.945+00:00,
,,,1995-12-02,,,FC St. Pauli,2026-05-17T20:17:13.638+00:00,,Nikola Vasilj,,,3897,,,Nikola Vasilj,Bosnia and Herzegovina,,,GK,,,nikola-vasilj,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:14.461+00:00,
,,,1996-03-12,,,Slaven Belupo,2026-05-17T20:17:14.154+00:00,,Osman Hadžikić,,,3899,,,Osman Hadžikić,Bosnia and Herzegovina,,,GK,,,osman-hadzikic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:14.98+00:00,
,,,1998-07-09,,,Sampdoria,2026-05-17T20:17:15.054+00:00,,Dennis Hadžikadunić,,,3901,,,Dennis Hadžikadunić,Bosnia and Herzegovina,,,DF,,,dennis-hadzikadunic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:15.506+00:00,
,,,1996-10-10,,,Schalke 04,2026-05-17T20:17:15.632+00:00,,Nikola Katić,,,3903,,,Nikola Katić,Bosnia and Herzegovina,,,DF,,,nikola-katic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:16.04+00:00,
,,,1998-04-15,,,Gaziantep,2026-05-17T20:17:16.249+00:00,,Nihad Mujakić,,,3905,,,Nihad Mujakić,Bosnia and Herzegovina,,,DF,,,nihad-mujakic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:16.551+00:00,
,,,2006-07-17,,,Lens,2026-05-17T20:17:16.862+00:00,,Nidal Čelik,,,3907,,,Nidal Čelik,Bosnia and Herzegovina,,,DF,,,nidal-celik,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:17.076+00:00,
,,,2003-03-03,,,Brøndby,2026-05-17T20:17:17.788+00:00,,Benjamin Tahirović,,,3909,,,Benjamin Tahirović,Bosnia and Herzegovina,,,MF,,,benjamin-tahirovic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:17.599+00:00,
,,,2005-03-10,,,PSV Eindhoven,2026-05-17T20:17:19.226+00:00,,Esmir Bajraktarević,,,3913,,,Esmir Bajraktarević,Bosnia and Herzegovina,,,MF,,,esmir-bajraktarevic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:18.643+00:00,
,,,1996-10-09,,,Pafos,2026-05-17T20:17:19.831+00:00,,Ivan Šunjić,,,3915,,,Ivan Šunjić,Bosnia and Herzegovina,,,MF,,,ivan-sunjic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:19.148+00:00,
,,,2005-03-14,,,Slovan Liberec,2026-05-17T20:17:20.751+00:00,,Ermin Mahmić,,,3917,,,Ermin Mahmić,Bosnia and Herzegovina,,,MF,,,ermin-mahmic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:19.672+00:00,
,,,1998-03-25,,,VfB Stuttgart,2026-05-17T20:17:21.968+00:00,,Ermedin Demirović,,,3919,,,Ermedin Demirović,Bosnia and Herzegovina,,,FW,,,ermedin-demirovic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:20.188+00:00,
,,,1994-06-20,,,Borussia Mönchengladbach,2026-05-17T20:17:23.129+00:00,,Haris Tabaković,,,3921,,,Haris Tabaković,Bosnia and Herzegovina,,,FW,,,haris-tabakovic,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,57,2026-05-17T20:24:20.715+00:00,
,,,1998-02-14,,,Al-Sadd,2026-05-17T20:17:24.085+00:00,,Meshaal Barsham,,,3923,,,Meshaal Barsham,Qatar,,,GK,,,meshaal-barsham,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:21.247+00:00,
,,,2000-02-05,,,Al-Rayyan,2026-05-17T20:17:24.922+00:00,,Mahmud Abunada,,,3925,,,Mahmud Abunada,Qatar,,,GK,,,mahmud-abunada,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:21.764+00:00,
,,,1990-07-09,,,Al-Sadd,2026-05-17T20:17:25.458+00:00,,Boualem Khoukhi,,,3927,,,Boualem Khoukhi,Qatar,,,DF,,,boualem-khoukhi,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:22.313+00:00,
,,,1997-12-05,,,Al-Sadd,2026-05-17T20:17:25.975+00:00,,Tarek Salman,,,3929,,,Tarek Salman,Qatar,,,DF,,,tarek-salman,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:22.833+00:00,
,,,1999-08-25,,,Cultural Leonesa,2026-05-17T20:17:26.808+00:00,,Homam Ahmed,,,3931,,,Homam Ahmed,Qatar,,,DF,,,homam-ahmed,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:23.344+00:00,
,,,1996-04-07,,,Al-Duhail,2026-05-17T20:17:27.316+00:00,,Sultan Al-Brake,,,3933,,,Sultan Al-Brake,Qatar,,,DF,,,sultan-al-brake,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:23.857+00:00,
,,,2005-03-11,,,Al-Gharafa,2026-05-17T20:17:28.111+00:00,,Ayoub Al-Oui,,,3935,,,Ayoub Al-Oui,Qatar,,,DF,,,ayoub-al-oui,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:24.376+00:00,
,,,2006-03-26,,,Al-Gharafa,2026-05-17T20:17:28.636+00:00,,Rayyan Al-Ali,,,3937,,,Rayyan Al-Ali,Qatar,,,DF,,,rayyan-al-ali,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,41,2026-05-17T20:24:24.892+00:00,
